ID,Cognateset_ID,Form_ID,Subset,Proto_Language,Comment,Inferred,Doublet_Comment,Disjunct_Comment,Doublets,Disjuncts
550-PCEMP,25070,protoform-550-PCEMP,,PCEMP,,true,,,,
550-PCMP,25070,protoform-550-PCMP,,PCMP,,true,,,,
551,25071,protoform-551,1,PPh,,false,,,,
570,25082,protoform-570,1,PWMP,,false,,,,
602,25104,protoform-602,1,PPh,,false,,,,
12129,33425,protoform-12129,1,PPh,,false,,,,
552,25072,protoform-552,1,PWMP,,false,,,,
554,25074,protoform-554,1,PMP,,false,,,,
555,25074,protoform-555,1,PCEMP,,false,,,,
556,25074,protoform-556,1,POC,,false,,,,
557,25074,protoform-557,2,PMP,,false,,,,
12182,25074,protoform-12182,2,POC,,false,,,,
558,25074,protoform-558,3,PMP,,false,,,,
12311,25074,protoform-12311,4,PPh,,false,,,,
554-PWMP,25074,protoform-554-PWMP,,PWMP,,true,,,,
555-PCMP,25074,protoform-555-PCMP,,PCMP,,true,,,,
555-PEMP,25074,protoform-555-PEMP,,PEMP,,true,,,,
557-PWMP,25074,protoform-557-PWMP,,PWMP,,true,,,,
557-PCEMP,25074,protoform-557-PCEMP,,PCEMP,,true,,,,
557-PCMP,25074,protoform-557-PCMP,,PCMP,,true,,,,
557-PEMP,25074,protoform-557-PEMP,,PEMP,,true,,,,
558-PWMP,25074,protoform-558-PWMP,,PWMP,,true,,,,
558-PCEMP,25074,protoform-558-PCEMP,,PCEMP,,true,,,,
558-PCMP,25074,protoform-558-PCMP,,PCMP,,true,,,,
558-PEMP,25074,protoform-558-PEMP,,PEMP,,true,,,,
558-POC,25074,protoform-558-POC,,POC,,true,,,,
559,25075,protoform-559,1,PAN,,false,,,,
560,25075,protoform-560,1,PMP,,false,,,,
561,25075,protoform-561,2,PPh,,false,,,,
560-PWMP,25075,protoform-560-PWMP,,PWMP,,true,,,,
560-PCEMP,25075,protoform-560-PCEMP,,PCEMP,,true,,,,
560-PCMP,25075,protoform-560-PCMP,,PCMP,,true,,,,
6557,29893,protoform-6557,1,PAN,,false,,,,
6558,29893,protoform-6558,2,PAN,,false,,,,
12826,33983,protoform-12826,1,PPh,,false,,,,
553,25073,protoform-553,1,PWMP,,false,,*bariwis,,703
562,25076,protoform-562,1,PMP,,false,*baliji,,539,
563,25076,protoform-563,1,POC,,false,,,,
562-PWMP,25076,protoform-562-PWMP,,PWMP,,true,,,,
562-PCEMP,25076,protoform-562-PCEMP,,PCEMP,,true,,,,
562-PEMP,25076,protoform-562-PEMP,,PEMP,,true,,,,
590,25096,protoform-590,1,PMP,,false,,,,
591,25096,protoform-591,1,POC,,false,,,,
590-PWMP,25096,protoform-590-PWMP,,PWMP,,true,,,,
590-PCEMP,25096,protoform-590-PCEMP,,PCEMP,,true,,,,
590-PEMP,25096,protoform-590-PEMP,,PEMP,,true,,,,
592,25097,protoform-592,1,PMP,,false,*qaSelu,,4303,
592-PWMP,25097,protoform-592-PWMP,,PWMP,,true,,,,
592-PCEMP,25097,protoform-592-PCEMP,,PCEMP,,true,,,,
592-PCMP,25097,protoform-592-PCMP,,PCMP,,true,,,,
593,25098,protoform-593,1,PMP,,false,,,,
594,25098,protoform-594,1,POC,,false,,,,
593-PWMP,25098,protoform-593-PWMP,,PWMP,,true,,,,
593-PCEMP,25098,protoform-593-PCEMP,,PCEMP,,true,,,,
593-PEMP,25098,protoform-593-PEMP,,PEMP,,true,,,,
596,25099,protoform-596,1,PMP,,false,,,,
597,25099,protoform-597,2,PWMP,,false,,,,
596-PWMP,25099,protoform-596-PWMP,,PWMP,,true,,,,
596-PCEMP,25099,protoform-596-PCEMP,,PCEMP,,true,,,,
596-PCMP,25099,protoform-596-PCMP,,PCMP,,true,,,,
11121,32704,protoform-11121,1,PPh,,false,,,,
11122,32704,protoform-11122,2,PPh,,false,,,,
11123,32704,protoform-11123,3,PPh,,false,,,,
574,25085,protoform-574,1,PMP,,false,,,,
574-PWMP,25085,protoform-574-PWMP,,PWMP,,true,,,,
574-PCEMP,25085,protoform-574-PCEMP,,PCEMP,,true,,,,
574-PCMP,25085,protoform-574-PCMP,,PCMP,,true,,,,
575,25086,protoform-575,1,PMP,,false,,,,
575-PWMP,25086,protoform-575-PWMP,,PWMP,,true,,,,
575-PCEMP,25086,protoform-575-PCEMP,,PCEMP,,true,,,,
575-PCMP,25086,protoform-575-PCMP,,PCMP,,true,,,,
576,25087,protoform-576,1,PWMP,,false,,,,
601,25103,protoform-601,1,PPh,,false,,,,
581,25090,protoform-581,1,PEMP,,false,,*balut,,588
582,25090,protoform-582,1,POC,,false,,,,
581-PSHWNG,25090,protoform-581-PSHWNG,,PSHWNG,,true,,,,
583,25091,protoform-583,1,PWMP,,false,,,,
577,25088,protoform-577,1,PWMP,,false,,,,
9114,31131,protoform-9114,1,PMP,,false,,,,
9114-PWMP,31131,protoform-9114-PWMP,,PWMP,,true,,,,
9114-PCEMP,31131,protoform-9114-PCEMP,,PCEMP,,true,,,,
9114-PCMP,31131,protoform-9114-PCMP,,PCMP,,true,,,,
578,25089,protoform-578,1,PAN,,false,,,,
579,25089,protoform-579,1,PMP,,false,,,,
580,25089,protoform-580,1,PCEMP,,false,,,,
579-PWMP,25089,protoform-579-PWMP,,PWMP,,true,,,,
580-PCMP,25089,protoform-580-PCMP,,PCMP,,true,,,,
584,25092,protoform-584,1,PMP,,false,,,,
585,25092,protoform-585,1,POC,,false,,,,
584-PWMP,25092,protoform-584-PWMP,,PWMP,,true,,,,
584-PCEMP,25092,protoform-584-PCEMP,,PCEMP,,true,,,,
584-PCMP,25092,protoform-584-PCMP,,PCMP,,true,,,,
584-PEMP,25092,protoform-584-PEMP,,PEMP,,true,,,,
586,25093,protoform-586,1,PWMP,,false,,,,
587,25094,protoform-587,1,PMP,,false,,*balun₁,,581
588,25094,protoform-588,1,POC,,false,,,,
587-PWMP,25094,protoform-587-PWMP,,PWMP,,true,,,,
587-PCEMP,25094,protoform-587-PCEMP,,PCEMP,,true,,,,
587-PEMP,25094,protoform-587-PEMP,,PEMP,,true,,,,
589,25095,protoform-589,1,PWMP,,false,,,,
603,25105,protoform-603,1,PPh,,false,,,,
607,25109,protoform-607,1,PWMP,,false,,,,
608,25110,protoform-608,1,PPh,,false,,,,
609,25111,protoform-609,1,PWMP,,false,,,,
12457,33706,protoform-12457,1,PPh,,false,,,,
610,25112,protoform-610,1,PMP,,false,,,,
610-PWMP,25112,protoform-610-PWMP,,PWMP,,true,,,,
610-PCEMP,25112,protoform-610-PCEMP,,PCEMP,,true,,,,
610-PCMP,25112,protoform-610-PCMP,,PCMP,,true,,,,
11262,32812,protoform-11262,1,PMP,,false,,,,
11262-PWMP,32812,protoform-11262-PWMP,,PWMP,,true,,,,
11262-PCEMP,32812,protoform-11262-PCEMP,,PCEMP,,true,,,,
11262-PEMP,32812,protoform-11262-PEMP,,PEMP,,true,,,,
11262-POC,32812,protoform-11262-POC,,POC,,true,,,,
616,25115,protoform-616,1,PWMP,,false,,,,
9239,31206,protoform-9239,1,PAN,,false,*danaw,,7109,
9239-PMP,31206,protoform-9239-PMP,,PMP,,true,,,,
9239-PWMP,31206,protoform-9239-PWMP,,PWMP,,true,,,,
618,25117,protoform-618,1,PWMP,,false,,,,
621,25119,protoform-621,1,PWMP,,false,*benben₂,,927,
622,25120,protoform-622,1,PMP,,false,,,,
622-PWMP,25120,protoform-622-PWMP,,PWMP,,true,,,,
622-PCEMP,25120,protoform-622-PCEMP,,PCEMP,,true,,,,
622-PCMP,25120,protoform-622-PCMP,,PCMP,,true,,,,
623,25121,protoform-623,1,PWMP,,false,,,,
626,25124,protoform-626,1,PPh,,false,,,,
624,25122,protoform-624,1,PWMP,,false,,,,
10930,32565,protoform-10930,1,PWMP,,false,,,,
625,25123,protoform-625,1,PPh,,false,,,,
12866,34017,protoform-12866,1,PPh,,false,,,,
9092,31118,protoform-9092,1,PPh,,false,,,,
628,25126,protoform-628,1,PPh,,false,,,,
9093,31119,protoform-9093,1,PPh,,false,,,,
629,25127,protoform-629,1,PWMP,,false,,,,
6660,29974,protoform-6660,1,PWMP,,false,,,,
11862,33324,protoform-11862,1,PWMP,,false,,,,
8331,30726,protoform-8331,1,PMP,,false,,,,
8331-PWMP,30726,protoform-8331-PWMP,,PWMP,,true,,,,
8331-PCEMP,30726,protoform-8331-PCEMP,,PCEMP,,true,,,,
8331-PCMP,30726,protoform-8331-PCMP,,PCMP,,true,,,,
8332,30727,protoform-8332,1,PPh,,false,,,,
7086,30228,protoform-7086,1,PMP,,false,,,,
7086-PWMP,30228,protoform-7086-PWMP,,PWMP,,true,,,,
7086-PCEMP,30228,protoform-7086-PCEMP,,PCEMP,,true,,,,
7086-PCMP,30228,protoform-7086-PCMP,,PCMP,,true,,,,
7086-PEMP,30228,protoform-7086-PEMP,,PEMP,,true,,,,
7086-PSHWNG,30228,protoform-7086-PSHWNG,,PSHWNG,,true,,,,
631,25129,protoform-631,1,PMP,,false,,,,
632,25129,protoform-632,1,POC,,false,,,,
631-PWMP,25129,protoform-631-PWMP,,PWMP,,true,,,,
631-PCEMP,25129,protoform-631-PCEMP,,PCEMP,,true,,,,
631-PCMP,25129,protoform-631-PCMP,,PCMP,,true,,,,
631-PEMP,25129,protoform-631-PEMP,,PEMP,,true,,,,
631-PSHWNG,25129,protoform-631-PSHWNG,,PSHWNG,,true,,,,
633,25130,protoform-633,1,PWMP,,false,,,,
630,25128,protoform-630,1,PWMP,,false,,,,
634,25131,protoform-634,1,PPh,,false,*beŋuit,,1090,
636,25133,protoform-636,1,PPh,,false,,,,
637,25134,protoform-637,1,PPh,,false,,,,
611,25113,protoform-611,1,PAN,,false,*baNaw,,619,
612,25113,protoform-612,1,PMP,,false,,,,
613,25113,protoform-613,1,PCEMP,,false,,,,
612-PWMP,25113,protoform-612-PWMP,,PWMP,,true,,,,
613-PCMP,25113,protoform-613-PCMP,,PCMP,,true,,,,
614,25114,protoform-614,1,PAN,,false,,,,
615,25114,protoform-615,1,PMP,,false,,,,
615-PWMP,25114,protoform-615-PWMP,,PWMP,,true,,,,
619,25118,protoform-619,1,PAN,,false,*baNaR,,611,
620,25118,protoform-620,1,PMP,,false,,,,
620-PWMP,25118,protoform-620-PWMP,,PWMP,,true,,,,
627,25125,protoform-627,1,PAN,,false,*panit,,3810,
627-PMP,25125,protoform-627-PMP,,PMP,,true,,,,
627-PWMP,25125,protoform-627-PWMP,,PWMP,,true,,,,
627-PCEMP,25125,protoform-627-PCEMP,,PCEMP,,true,,,,
627-PCMP,25125,protoform-627-PCMP,,PCMP,,true,,,,
617,25116,protoform-617,1,PWMP,,false,*binat,,1185,
754,25215,protoform-754,1,PAN,,false,,,,
755,25215,protoform-755,1,PMP,,false,,,,
756,25215,protoform-756,1,POC,,false,,,,
757,25215,protoform-757,2,PAN,,false,,,,
758,25215,protoform-758,2,PMP,,false,,,,
759,25215,protoform-759,3,PWMP,,false,,,,
755-PWMP,25215,protoform-755-PWMP,,PWMP,,true,,,,
755-PCEMP,25215,protoform-755-PCEMP,,PCEMP,,true,,,,
755-PCMP,25215,protoform-755-PCMP,,PCMP,,true,,,,
755-PEMP,25215,protoform-755-PEMP,,PEMP,,true,,,,
755-PSHWNG,25215,protoform-755-PSHWNG,,PSHWNG,,true,,,,
758-PWMP,25215,protoform-758-PWMP,,PWMP,,true,,,,
777,25229,protoform-777,1,PWMP,,false,,,,
761,25217,protoform-761,1,PWMP,,false,,,,
762,25218,protoform-762,1,PMP,,false,,,,
763,25218,protoform-763,1,POC,,false,,,,
762-PWMP,25218,protoform-762-PWMP,,PWMP,,true,,,,
762-PCEMP,25218,protoform-762-PCEMP,,PCEMP,,true,,,,
762-PCMP,25218,protoform-762-PCMP,,PCMP,,true,,,,
762-PEMP,25218,protoform-762-PEMP,,PEMP,,true,,,,
753,25214,protoform-753,1,PWMP,,false,*baŋa₂,,762,
10945,32577,protoform-10945,1,PPh,,false,,,,
7114,30241,protoform-7114,1,PAN,,false,,,,
760,25216,protoform-760,1,PAN,,false,*baŋ(e)haw,,800,
760-PMP,25216,protoform-760-PMP,,PMP,,true,,,,
760-PWMP,25216,protoform-760-PWMP,,PWMP,,true,,,,
765,25220,protoform-765,1,PWMP,,false,,,,
766,25221,protoform-766,1,PAN,,false,"*beŋbeŋ, etc.",,1062,
767,25221,protoform-767,1,PMP,,false,,,,
767-PWMP,25221,protoform-767-PWMP,,PWMP,,true,,,,
768,25222,protoform-768,1,PMP,,false,,,,
769,25222,protoform-769,1,POC,,false,,,,
768-PWMP,25222,protoform-768-PWMP,,PWMP,,true,,,,
768-PCEMP,25222,protoform-768-PCEMP,,PCEMP,,true,,,,
768-PEMP,25222,protoform-768-PEMP,,PEMP,,true,,,,
770,25223,protoform-770,1,PWMP,,false,,,,
771,25224,protoform-771,1,PMP,,false,,,,
772,25224,protoform-772,1,POC,,false,,,,
771-PWMP,25224,protoform-771-PWMP,,PWMP,,true,,,,
771-PCEMP,25224,protoform-771-PCEMP,,PCEMP,,true,,,,
771-PEMP,25224,protoform-771-PEMP,,PEMP,,true,,,,
773,25225,protoform-773,1,PAN,,false,,,,
773-PMP,25225,protoform-773-PMP,,PMP,,true,,,,
773-PWMP,25225,protoform-773-PWMP,,PWMP,,true,,,,
773-PCEMP,25225,protoform-773-PCEMP,,PCEMP,,true,,,,
773-PCMP,25225,protoform-773-PCMP,,PCMP,,true,,,,
774,25226,protoform-774,1,PWMP,,false,,,,
775,25227,protoform-775,1,PWMP,,false,,,,
764,25219,protoform-764,1,PWMP,,false,*paŋpaŋ,,3912,
800,25240,protoform-800,1,PWMP,,false,*baŋaw,,760,
776,25228,protoform-776,1,PAN,,false,,,,
10959,25228,protoform-10959,2,PMP,,false,,,,
10959-PWMP,25228,protoform-10959-PWMP,,PWMP,,true,,,,
10463,32192,protoform-10463,1,PPh,,false,,,,
10812,32192,protoform-10812,2,PPh,,false,,,,
801,25241,protoform-801,1,PAN,,false,*baŋ(e)qes,,803,
802,25241,protoform-802,1,PMP,,false,,,,
802-PWMP,25241,protoform-802-PWMP,,PWMP,,true,,,,
802-PCEMP,25241,protoform-802-PCEMP,,PCEMP,,true,,,,
802-PCMP,25241,protoform-802-PCMP,,PCMP,,true,,,,
803,25242,protoform-803,1,PMP,,false,*baŋ(e)qeR₁,,801,
803-PWMP,25242,protoform-803-PWMP,,PWMP,,true,,,,
803-PCEMP,25242,protoform-803-PCEMP,,PCEMP,,true,,,,
803-PCMP,25242,protoform-803-PCMP,,PCMP,,true,,,,
7227,30292,protoform-7227,1,PAN,,false,,,,
804,25243,protoform-804,1,PAN,,false,,,,
10960,25243,protoform-10960,1,PMP,,false,,,,
10960-PWMP,25243,protoform-10960-PWMP,,PWMP,,true,,,,
10960-PCEMP,25243,protoform-10960-PCEMP,,PCEMP,,true,,,,
10960-PCMP,25243,protoform-10960-PCMP,,PCMP,,true,,,,
780,25232,protoform-780,1,PMP,,false,,,,
780-PWMP,25232,protoform-780-PWMP,,PWMP,,true,,,,
780-PCEMP,25232,protoform-780-PCEMP,,PCEMP,,true,,,,
780-PEMP,25232,protoform-780-PEMP,,PEMP,,true,,,,
780-POC,25232,protoform-780-POC,,POC,,true,,,,
781,25233,protoform-781,1,PMP,,false,,,,
781-PWMP,25233,protoform-781-PWMP,,PWMP,,true,,,,
781-PCEMP,25233,protoform-781-PCEMP,,PCEMP,,true,,,,
781-PCMP,25233,protoform-781-PCMP,,PCMP,,true,,,,
12458,33707,protoform-12458,1,PPh,,false,,,,
778,25230,protoform-778,1,PWMP,,false,,,,
779,25231,protoform-779,1,PWMP,,false,,*beŋis₁,,1075
782,25234,protoform-782,1,PMP,,false,,,,
782-PWMP,25234,protoform-782-PWMP,,PWMP,,true,,,,
782-PCEMP,25234,protoform-782-PCEMP,,PCEMP,,true,,,,
782-PCMP,25234,protoform-782-PCMP,,PCMP,,true,,,,
11292,32839,protoform-11292,1,PMP,,false,,,,
11293,32839,protoform-11293,2,POC,,false,,,,
11292-PWMP,32839,protoform-11292-PWMP,,PWMP,,true,,,,
11292-PCEMP,32839,protoform-11292-PCEMP,,PCEMP,,true,,,,
11292-PCMP,32839,protoform-11292-PCMP,,PCMP,,true,,,,
783,25235,protoform-783,1,PWMP,,false,,,,
9001,31053,protoform-9001,1,PWMP,,false,,,,
784,25236,protoform-784,1,PWMP,,false,,,,
6843,30114,protoform-6843,1,PWMP,,false,,,,
785,25237,protoform-785,1,PWMP,,false,,,,
6457,29835,protoform-6457,1,PWMP,,false,,,,
6454,29833,protoform-6454,1,PWMP,,false,,,,
7304,30331,protoform-7304,1,PAN,,false,,,,
786,25238,protoform-786,1,PWMP,,false,,,,
787,25239,protoform-787,1,PAN,,false,,,,
788,25239,protoform-788,1,PMP,,false,,,,
789,25239,protoform-789,1,POC,,false,,,,
790,25239,protoform-790,2,PWMP,,false,,,,
791,25239,protoform-791,3,PWMP,,false,,,,
792,25239,protoform-792,4,PWMP,,false,,,,
793,25239,protoform-793,5,PPh,,false,,,,
794,25239,protoform-794,6,PWMP,,false,,,,
795,25239,protoform-795,7,PWMP,,false,,,,
796,25239,protoform-796,8,PWMP,,false,,,,
797,25239,protoform-797,9,PWMP,,false,,,,
798,25239,protoform-798,10,PWMP,,false,,,,
799,25239,protoform-799,11,POC,,false,,,,
788-PWMP,25239,protoform-788-PWMP,,PWMP,,true,,,,
788-PCEMP,25239,protoform-788-PCEMP,,PCEMP,,true,,,,
788-PCMP,25239,protoform-788-PCMP,,PCMP,,true,,,,
788-PEMP,25239,protoform-788-PEMP,,PEMP,,true,,,,
788-PSHWNG,25239,protoform-788-PSHWNG,,PSHWNG,,true,,,,
12682,33864,protoform-12682,1,PPh,,false,,,,
638,25135,protoform-638,1,PMP,,false,,,,
638-PWMP,25135,protoform-638-PWMP,,PWMP,,true,,,,
638-PCEMP,25135,protoform-638-PCEMP,,PCEMP,,true,,,,
638-PCMP,25135,protoform-638-PCMP,,PCMP,,true,,,,
638-PEMP,25135,protoform-638-PEMP,,PEMP,,true,,,,
638-PSHWNG,25135,protoform-638-PSHWNG,,PSHWNG,,true,,,,
639,25136,protoform-639,1,PMP,,false,,,,
639-PWMP,25136,protoform-639-PWMP,,PWMP,,true,,,,
639-PCEMP,25136,protoform-639-PCEMP,,PCEMP,,true,,,,
639-PCMP,25136,protoform-639-PCMP,,PCMP,,true,,,,
10946,32578,protoform-10946,1,PPh,,false,,,,
640,25137,protoform-640,1,PMP,,false,,,,
641,25137,protoform-641,1,POC,,false,,,,
640-PWMP,25137,protoform-640-PWMP,,PWMP,,true,,,,
640-PCEMP,25137,protoform-640-PCEMP,,PCEMP,,true,,,,
640-PEMP,25137,protoform-640-PEMP,,PEMP,,true,,,,
642,25138,protoform-642,1,PMP,,false,"*bahaq, *beqbeq",,949,
643,25138,protoform-643,1,POC,,false,,,,
642-PWMP,25138,protoform-642-PWMP,,PWMP,,true,,,,
642-PCEMP,25138,protoform-642-PCEMP,,PCEMP,,true,,,,
642-PCMP,25138,protoform-642-PCMP,,PCMP,,true,,,,
642-PEMP,25138,protoform-642-PEMP,,PEMP,,true,,,,
644,25139,protoform-644,1,PWMP,,false,,,,
752,25213,protoform-752,1,PWMP,,false,,,,
645,25140,protoform-645,1,PAN,,false,,,,
646,25140,protoform-646,1,PMP,,false,,,,
647,25140,protoform-647,1,PEMP,,false,,,,
649,25140,protoform-649,2,POC,,false,,,,
650,25140,protoform-650,3,PWMP,,false,,,,
646-PWMP,25140,protoform-646-PWMP,,PWMP,,true,,,,
646-PCEMP,25140,protoform-646-PCEMP,,PCEMP,,true,,,,
646-PCMP,25140,protoform-646-PCMP,,PCMP,,true,,,,
647-PSHWNG,25140,protoform-647-PSHWNG,,PSHWNG,,true,,,,
647-POC,25140,protoform-647-POC,,POC,,true,,,,
7146,30264,protoform-7146,1,PAN,,false,,,,
11089,32684,protoform-11089,1,PPh,,false,,,,
11090,32684,protoform-11090,2,PPh,,false,,,,
6438,29829,protoform-6438,1,PAN,,false,,,,
6438-PMP,29829,protoform-6438-PMP,,PMP,,true,,,,
6438-PWMP,29829,protoform-6438-PWMP,,PWMP,,true,,,,
6438-PCEMP,29829,protoform-6438-PCEMP,,PCEMP,,true,,,,
6438-PCMP,29829,protoform-6438-PCMP,,PCMP,,true,,,,
7072,30218,protoform-7072,1,PPh,,false,,,,
7065,30215,protoform-7065,1,PPh,,false,,,,
651,25141,protoform-651,1,PMP,,false,,,,
651-PWMP,25141,protoform-651-PWMP,,PWMP,,true,,,,
651-PCEMP,25141,protoform-651-PCEMP,,PCEMP,,true,,,,
651-PCMP,25141,protoform-651-PCMP,,PCMP,,true,,,,
677,25157,protoform-677,1,PMP,,false,,"*bala₂, *baRa₂",,516 675
678,25157,protoform-678,1,POC,,false,,,,
677-PWMP,25157,protoform-677-PWMP,,PWMP,,true,,,,
677-PCEMP,25157,protoform-677-PCEMP,,PCEMP,,true,,,,
677-PEMP,25157,protoform-677-PEMP,,PEMP,,true,,,,
677-PSHWNG,25157,protoform-677-PSHWNG,,PSHWNG,,true,,,,
679,25158,protoform-679,1,PMP,,false,"*barat, *baRat",,8967,
680,25158,protoform-680,2,PMP,,false,,,,
681,25158,protoform-681,2,POC,,false,,,,
679-PWMP,25158,protoform-679-PWMP,,PWMP,,true,,,,
679-PCEMP,25158,protoform-679-PCEMP,,PCEMP,,true,,,,
679-PCMP,25158,protoform-679-PCMP,,PCMP,,true,,,,
680-PWMP,25158,protoform-680-PWMP,,PWMP,,true,,,,
680-PCEMP,25158,protoform-680-PCEMP,,PCEMP,,true,,,,
680-PEMP,25158,protoform-680-PEMP,,PEMP,,true,,,,
682,25159,protoform-682,1,PWMP,,false,,*bala₃,,518
12690,33871,protoform-12690,1,PPh,,false,,,,
12879,34027,protoform-12879,1,PPh,,false,,,,
660,25145,protoform-660,1,PMP,,false,,,,
660-PWMP,25145,protoform-660-PWMP,,PWMP,,true,,,,
660-PCEMP,25145,protoform-660-PCEMP,,PCEMP,,true,,,,
660-PCMP,25145,protoform-660-PCMP,,PCMP,,true,,,,
655,25143,protoform-655,1,PPh,,false,,,,
690,25167,protoform-690,1,PMP,,false,,,,
691,25167,protoform-691,1,POC,,false,,,,
690-PWMP,25167,protoform-690-PWMP,,PWMP,,true,,,,
690-PCEMP,25167,protoform-690-PCEMP,,PCEMP,,true,,,,
690-PCMP,25167,protoform-690-PCMP,,PCMP,,true,,,,
690-PEMP,25167,protoform-690-PEMP,,PEMP,,true,,,,
683,25160,protoform-683,1,PWMP,,false,*baraŋen₁,,687,
684,25161,protoform-684,1,PWMP,,false,,,,
685,25162,protoform-685,1,PWMP,,false,*baraŋen₂,,688,
686,25163,protoform-686,1,PWMP,,false,,,,
687,25164,protoform-687,1,PWMP,,false,*baraŋan₁,,683,
688,25165,protoform-688,1,PWMP,,false,*baraŋan₃,,685,
689,25166,protoform-689,1,PPh,,false,*baraŋáy,,,
661,25146,protoform-661,1,PMP,,false,,,,
661-PWMP,25146,protoform-661-PWMP,,PWMP,,true,,,,
661-PCEMP,25146,protoform-661-PCEMP,,PCEMP,,true,,,,
661-PCMP,25146,protoform-661-PCMP,,PCMP,,true,,,,
665,25149,protoform-665,1,PWMP,,false,*bales₁,,531,
664,25148,protoform-664,1,PWMP,,false,,,,
670,25152,protoform-670,1,PPh,,false,,,,
668,25151,protoform-668,1,PAN,,false,*baRat₁,,666,
669,25151,protoform-669,1,POC,,false,*baRat₁,,666,
668-PMP,25151,protoform-668-PMP,,PMP,,true,,,,
668-PWMP,25151,protoform-668-PWMP,,PWMP,,true,,,,
668-PCEMP,25151,protoform-668-PCEMP,,PCEMP,,true,,,,
668-PCMP,25151,protoform-668-PCMP,,PCMP,,true,,,,
668-PEMP,25151,protoform-668-PEMP,,PEMP,,true,,,,
671,25153,protoform-671,1,PWMP,,false,,*barayeŋ,,672
672,25154,protoform-672,1,PWMP,,false,,*barayaŋ,,671
693,25169,protoform-693,1,PMP,,false,,,,
693-PWMP,25169,protoform-693-PWMP,,PWMP,,true,,,,
693-PCEMP,25169,protoform-693-PCEMP,,PCEMP,,true,,,,
693-PCMP,25169,protoform-693-PCMP,,PCMP,,true,,,,
9030,31071,protoform-9030,1,POC,,false,,,,
700,25173,protoform-700,1,PMP,,false,,,,
700-PWMP,25173,protoform-700-PWMP,,PWMP,,true,,,,
700-PCEMP,25173,protoform-700-PCEMP,,PCEMP,,true,,,,
700-PCMP,25173,protoform-700-PCMP,,PCMP,,true,,,,
12867,34018,protoform-12867,1,PPh,,false,,,,
703,25176,protoform-703,1,PWMP,,false,,*baliwis,,553
708,25180,protoform-708,1,PWMP,,false,,,,
712,25182,protoform-712,1,PMP,,false,,,,
712-PWMP,25182,protoform-712-PWMP,,PWMP,,true,,,,
712-PCEMP,25182,protoform-712-PCEMP,,PCEMP,,true,,,,
712-PCMP,25182,protoform-712-PCMP,,PCMP,,true,,,,
714,25184,protoform-714,1,PWMP,,false,,,,
716,25186,protoform-716,1,PWMP,,false,*balut,,588,
3599,27129,protoform-3599,1,POC,,false,,,,
673,25155,protoform-673,1,PMP,,false,,,,
674,25155,protoform-674,1,POC,,false,,,,
673-PWMP,25155,protoform-673-PWMP,,PWMP,,true,,,,
673-PCEMP,25155,protoform-673-PCEMP,,PCEMP,,true,,,,
673-PCMP,25155,protoform-673-PCMP,,PCMP,,true,,,,
673-PEMP,25155,protoform-673-PEMP,,PEMP,,true,,,,
673-PSHWNG,25155,protoform-673-PSHWNG,,PSHWNG,,true,,,,
675,25156,protoform-675,1,PMP,,false,,"*bala₂, *bara₁",,516 677
676,25156,protoform-676,1,POC,,false,,,,
675-PWMP,25156,protoform-675-PWMP,,PWMP,,true,,,,
675-PCEMP,25156,protoform-675-PCEMP,,PCEMP,,true,,,,
675-PEMP,25156,protoform-675-PEMP,,PEMP,,true,,,,
675-PSHWNG,25156,protoform-675-PSHWNG,,PSHWNG,,true,,,,
652,25142,protoform-652,1,PAN,,false,,,,
653,25142,protoform-653,1,PMP,,false,,,,
654,25142,protoform-654,2,PMP,,false,,,,
653-PWMP,25142,protoform-653-PWMP,,PWMP,,true,,,,
653-PCEMP,25142,protoform-653-PCEMP,,PCEMP,,true,,,,
653-PCMP,25142,protoform-653-PCMP,,PCMP,,true,,,,
654-PWMP,25142,protoform-654-PWMP,,PWMP,,true,,,,
654-PCEMP,25142,protoform-654-PCEMP,,PCEMP,,true,,,,
654-PCMP,25142,protoform-654-PCMP,,PCMP,,true,,,,
657,25144,protoform-657,1,PMP,,false,,,,
658,25144,protoform-658,1,POC,,false,,,,
659,25144,protoform-659,2,PWMP,,false,,,,
657-PWMP,25144,protoform-657-PWMP,,PWMP,,true,,,,
657-PCEMP,25144,protoform-657-PCEMP,,PCEMP,,true,,,,
657-PCMP,25144,protoform-657-PCMP,,PCMP,,true,,,,
657-PEMP,25144,protoform-657-PEMP,,PEMP,,true,,,,
9176,31164,protoform-9176,1,PAN,,false,,,,
662,25147,protoform-662,1,PAN,,false,,,,
663,25147,protoform-663,1,POC,,false,,,,
662-PMP,25147,protoform-662-PMP,,PMP,,true,,,,
662-PWMP,25147,protoform-662-PWMP,,PWMP,,true,,,,
662-PCEMP,25147,protoform-662-PCEMP,,PCEMP,,true,,,,
662-PCMP,25147,protoform-662-PCMP,,PCMP,,true,,,,
662-PEMP,25147,protoform-662-PEMP,,PEMP,,true,,,,
8967,31030,protoform-8967,1,PPh,,false,,,,
8968,31030,protoform-8968,2,PPh,,false,,,,
666,25150,protoform-666,1,PAN,,false,*barat₁,,668,
667,25150,protoform-667,1,POC,,false,*(m)parat,,,
666-PMP,25150,protoform-666-PMP,,PMP,,true,,,,
666-PWMP,25150,protoform-666-PWMP,,PWMP,,true,,,,
